| logmsub |   csub |  cgal |   ssub |  sgal |
|    8.11 |      0 |     0 |      0 |     0 |
|    8.32 |      0 |     0 |      0 |     0 |
|    8.53 | 229237 |  1519 |  82753 | 13093 |
|    8.74 | 274375 |  3233 | 100532 | 22689 |
|    8.95 | 190474 |  4928 |  65435 | 21779 |
|    9.17 | 130906 |  8030 |  42838 | 20183 |
|    9.38 |  88510 | 14339 |  27769 | 17931 |
|    9.59 |  61790 | 26787 |  17928 | 14867 |
|    9.80 |  40688 | 31459 |  11300 | 10677 |
|   10.02 |  25476 | 23782 |   7112 |  7013 |
|   10.23 |  15746 | 15561 |   4631 |  4627 |
|   10.44 |  10118 | 10107 |   3068 |  3068 |
|   10.65 |   6397 |  6396 |   2142 |  2142 |
|   10.86 |   4031 |  4031 |   1364 |  1364 |
|   11.08 |   2718 |  2718 |    871 |   871 |
|   11.29 |   1849 |  1849 |    544 |   544 |
|   11.50 |   1105 |  1105 |    348 |   348 |
|   11.71 |    786 |   786 |    222 |   222 |
|   11.92 |    493 |   493 |    136 |   136 |
|   12.14 |    333 |   333 |     79 |    79 |
|   12.35 |    233 |   233 |     39 |    39 |
|   12.56 |    149 |   149 |     26 |    26 |
|   12.77 |     93 |    93 |     20 |    20 |
|   12.98 |     71 |    71 |      7 |     7 |
|   13.20 |     35 |    35 |      2 |     2 |
|   13.41 |     25 |    25 |      2 |     2 |
|   13.62 |     10 |    10 |      2 |     2 |
|   13.83 |      6 |     6 |      1 |     1 |
|   14.05 |      1 |     1 |      1 |     1 |
|   14.26 |      3 |     3 |      0 |     0 |
|   14.47 |      1 |     1 |      0 |     0 |
|   14.68 |      0 |     0 |      0 |     0 |
|   14.89 |      0 |     0 |      0 |     0 |
