| logmu |   csub |   cgal |  ssub | sgal |
| -4.89 |      0 |      0 | 14367 | 5909 |
| -4.67 |      0 |      0 | 15911 | 6647 |
| -4.46 |      0 |      0 | 17151 | 7256 |
| -4.24 |      0 |      0 | 17172 | 7867 |
| -4.02 |      0 |      0 | 17253 | 8004 |
| -3.80 |      0 |      0 | 17060 | 8156 |
| -3.59 |      0 |      0 | 16373 | 8013 |
| -3.37 |      0 |      0 | 15741 | 7868 |
| -3.15 |      0 |      0 | 15159 | 7414 |
| -2.93 |      0 |      0 | 14531 | 7169 |
| -2.72 |      0 |      0 | 14217 | 6661 |
| -2.50 |      0 |      0 | 14180 | 6198 |
| -2.28 |      0 |      0 | 13451 | 5566 |
| -2.07 |      0 |      0 | 13387 | 5170 |
| -1.85 |      1 |      0 | 12819 | 4501 |
| -1.63 |      0 |      0 | 12377 | 3947 |
| -1.41 |      0 |      0 | 12576 | 3642 |
| -1.20 |      1 |      0 | 12722 | 3273 |
| -0.98 |      3 |      1 | 13280 | 3012 |
| -0.76 |     27 |      4 | 14229 | 3039 |
| -0.54 |    579 |    161 | 14637 | 2868 |
| -0.33 |  16682 |   3834 |  9896 | 1707 |
| -0.11 | 893856 | 153717 |  4335 |  734 |
