# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  1.4149e+10  1.9787e+09  2.2567e+09
1.3257e+08  1.5167e+10  2.1265e+09  2.0642e+09
1.5999e+08  1.6248e+10  2.2746e+09  2.2149e+09
1.9307e+08  1.7380e+10  2.4030e+09  2.3992e+09
2.3300e+08  1.8571e+10  2.5155e+09  2.6158e+09
2.8118e+08  1.9828e+10  2.6148e+09  2.8638e+09
3.3932e+08  2.1153e+10  2.6968e+09  2.6609e+09
4.0949e+08  2.2537e+10  2.7446e+09  2.9636e+09
4.9417e+08  2.4002e+10  3.3299e+09  3.3022e+09
5.9636e+08  2.5549e+10  3.3753e+09  3.0959e+09
7.1969e+08  2.7183e+10  3.3988e+09  3.4863e+09
8.6851e+08  2.8931e+10  3.4222e+09  3.9057e+09
1.0481e+09  3.0778e+10  4.1280e+09  3.6677e+09
1.2649e+09  3.2771e+10  4.1868e+09  4.1135e+09
1.5264e+09  3.4926e+10  4.2745e+09  4.5718e+09
1.8421e+09  3.7217e+10  5.2049e+09  5.0785e+09
2.2230e+09  3.9729e+10  5.4074e+09  5.5702e+09
2.6827e+09  4.2497e+10  5.7102e+09  6.0321e+09
3.2375e+09  4.5533e+10  6.1156e+09  6.4657e+09
3.9069e+09  4.8918e+10  7.8251e+09  7.9443e+09
4.7149e+09  5.2737e+10  8.7571e+09  8.2433e+09
5.6899e+09  5.7092e+10  1.0067e+10  9.6522e+09
6.8665e+09  6.2090e+10  1.0440e+10  1.1005e+10
8.2864e+09  6.8058e+10  1.2988e+10  1.3652e+10
1.0000e+10  7.5041e+10  1.6466e+10  1.6363e+10
1.2068e+10  8.3571e+10  1.9639e+10  1.8847e+10
1.4563e+10  9.3978e+10  2.4458e+10  2.3148e+10
1.7575e+10  1.0716e+11  2.9612e+10  2.9605e+10
2.1210e+10  1.2389e+11  4.0808e+10  3.9069e+10
2.5595e+10  1.4532e+11  5.4320e+10  5.2758e+10
3.0888e+10  1.7365e+11  7.1841e+10  7.2102e+10
3.7276e+10  2.1160e+11  9.5268e+10  9.4755e+10
4.4984e+10  2.6257e+11  1.3256e+11  1.3347e+11
5.4287e+10  3.3423e+11  1.9552e+11  1.8928e+11
6.5513e+10  4.3273e+11  2.7521e+11  2.7280e+11
7.9060e+10  5.7684e+11  3.9987e+11  3.9706e+11
9.5410e+10  7.8948e+11  6.1323e+11  6.0472e+11
1.1514e+11  1.1054e+12  8.9986e+11  9.0734e+11
1.3895e+11  1.6033e+12  1.4214e+12  1.4582e+12
1.6768e+11  2.3561e+12  2.2362e+12  2.2666e+12
2.0236e+11  3.5525e+12  3.5217e+12  3.5948e+12
2.4421e+11  5.3869e+12  5.5984e+12  5.6891e+12
2.9471e+11  8.2581e+12  8.4974e+12  8.6161e+12
3.5565e+11  1.2440e+13  1.2891e+13  1.3325e+13
4.2919e+11  1.6967e+13  1.6783e+13  1.6424e+13
5.1795e+11  2.3303e+13  2.1861e+13  2.1602e+13
6.2506e+11  3.1465e+13  2.4475e+13  2.5921e+13
7.5431e+11  3.6889e+13  3.0960e+13  2.8294e+13
9.1030e+11  4.2859e+13  2.3412e+13  2.6957e+13
