# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  1.5307e+10  1.9348e+09  1.9423e+09
1.3257e+08  1.6316e+10  2.3524e+09  2.1559e+09
1.5999e+08  1.7370e+10  2.3919e+09  2.4077e+09
1.9307e+08  1.8480e+10  2.4132e+09  2.2676e+09
2.3300e+08  1.9644e+10  2.4073e+09  2.5681e+09
2.8118e+08  2.0865e+10  2.8551e+09  2.4298e+09
3.3932e+08  2.2155e+10  2.8300e+09  2.7815e+09
4.0949e+08  2.3498e+10  2.7606e+09  2.6499e+09
4.9417e+08  2.4912e+10  3.2354e+09  3.0744e+09
5.9636e+08  2.6389e+10  3.1250e+09  2.9514e+09
7.1969e+08  2.7980e+10  3.6626e+09  3.4244e+09
8.6851e+08  2.9648e+10  3.5498e+09  3.2769e+09
1.0481e+09  3.1425e+10  4.1444e+09  3.8151e+09
1.2649e+09  3.3301e+10  4.0221e+09  4.4125e+09
1.5264e+09  3.5335e+10  4.7362e+09  4.2137e+09
1.8421e+09  3.7497e+10  4.6625e+09  4.8350e+09
2.2230e+09  3.9863e+10  5.5601e+09  5.4546e+09
2.6827e+09  4.2447e+10  5.6538e+09  5.0973e+09
3.2375e+09  4.5276e+10  5.8243e+09  5.6434e+09
3.9069e+09  4.8380e+10  7.2033e+09  7.2785e+09
4.7149e+09  5.1934e+10  7.8274e+09  7.7185e+09
5.6899e+09  5.5917e+10  8.6961e+09  8.0417e+09
6.8665e+09  6.0431e+10  9.9160e+09  9.5648e+09
8.2864e+09  6.5736e+10  1.1777e+10  1.2442e+10
1.0000e+10  7.1991e+10  1.4467e+10  1.3713e+10
1.2068e+10  7.9545e+10  1.6596e+10  1.6372e+10
1.4563e+10  8.8825e+10  2.0154e+10  2.0752e+10
1.7575e+10  1.0030e+11  2.5707e+10  2.7412e+10
2.1210e+10  1.1495e+11  3.4544e+10  3.4274e+10
2.5595e+10  1.3329e+11  4.4445e+10  4.4562e+10
3.0888e+10  1.5752e+11  6.0690e+10  5.9000e+10
3.7276e+10  1.8999e+11  8.2557e+10  8.3677e+10
4.4984e+10  2.3246e+11  1.1044e+11  1.1436e+11
5.4287e+10  2.9271e+11  1.5935e+11  1.5742e+11
6.5513e+10  3.7444e+11  2.2709e+11  2.2987e+11
7.9060e+10  4.9322e+11  3.3281e+11  3.2589e+11
9.5410e+10  6.6354e+11  4.9176e+11  4.8606e+11
1.1514e+11  9.2083e+11  7.2977e+11  7.3324e+11
1.3895e+11  1.3091e+12  1.1062e+12  1.1244e+12
1.6768e+11  1.9054e+12  1.7549e+12  1.7550e+12
2.0236e+11  2.8650e+12  2.8177e+12  2.8293e+12
2.4421e+11  4.3286e+12  4.3890e+12  4.4219e+12
2.9471e+11  6.6143e+12  7.0132e+12  6.9984e+12
3.5565e+11  9.9919e+12  1.0575e+13  1.0821e+13
4.2919e+11  1.4157e+13  1.4050e+13  1.4637e+13
5.1795e+11  2.0093e+13  1.8647e+13  1.9753e+13
6.2506e+11  2.6738e+13  2.3219e+13  2.2341e+13
7.5431e+11  3.1893e+13  2.6708e+13  2.3375e+13
9.1030e+11  4.0467e+13  2.0602e+13  2.6360e+13
