# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  9.1271e+09  1.4781e+09  1.4641e+09
1.3257e+08  9.9014e+09  1.7258e+09  1.6941e+09
1.5999e+08  1.0742e+10  1.7577e+09  1.9523e+09
1.9307e+08  1.1653e+10  2.0506e+09  1.9741e+09
2.3300e+08  1.2637e+10  2.0843e+09  2.2802e+09
2.8118e+08  1.3719e+10  2.4423e+09  2.2960e+09
3.3932e+08  1.4891e+10  2.5003e+09  2.6429e+09
4.0949e+08  1.6153e+10  2.9100e+09  2.6689e+09
4.9417e+08  1.7533e+10  2.9811e+09  3.0744e+09
5.9636e+08  1.9030e+10  3.4812e+09  3.0916e+09
7.1969e+08  2.0652e+10  3.5643e+09  3.5685e+09
8.6851e+08  2.2413e+10  3.6378e+09  4.1032e+09
1.0481e+09  2.4356e+10  4.2960e+09  4.1162e+09
1.2649e+09  2.6418e+10  4.3739e+09  4.7506e+09
1.5264e+09  2.8688e+10  5.1330e+09  4.7756e+09
1.8421e+09  3.1194e+10  5.3206e+09  5.4535e+09
2.2230e+09  3.3878e+10  6.2343e+09  6.2469e+09
2.6827e+09  3.6835e+10  6.4679e+09  6.2544e+09
3.2375e+09  4.0061e+10  6.7079e+09  7.1286e+09
3.9069e+09  4.3696e+10  8.0931e+09  8.0050e+09
4.7149e+09  4.7606e+10  8.5135e+09  9.0253e+09
5.6899e+09  5.2023e+10  9.1268e+09  1.0039e+10
6.8665e+09  5.6943e+10  1.1202e+10  1.1087e+10
8.2864e+09  6.2550e+10  1.2419e+10  1.2066e+10
1.0000e+10  6.9128e+10  1.4271e+10  1.4381e+10
1.2068e+10  7.6749e+10  1.6801e+10  1.6776e+10
1.4563e+10  8.6020e+10  2.0718e+10  2.0876e+10
1.7575e+10  9.7646e+10  2.4654e+10  2.4810e+10
2.1210e+10  1.1236e+11  3.3791e+10  3.3475e+10
2.5595e+10  1.3224e+11  4.6093e+10  4.5257e+10
3.0888e+10  1.5904e+11  6.2804e+10  6.1704e+10
3.7276e+10  1.9515e+11  9.0037e+10  8.9704e+10
4.4984e+10  2.4475e+11  1.3454e+11  1.3597e+11
5.4287e+10  3.1242e+11  1.9044e+11  1.9802e+11
6.5513e+10  4.0692e+11  2.9000e+11  2.9092e+11
7.9060e+10  5.4364e+11  4.3226e+11  4.3147e+11
9.5410e+10  7.4852e+11  6.6218e+11  6.8217e+11
1.1514e+11  1.0649e+12  1.0478e+12  1.0610e+12
1.3895e+11  1.5920e+12  1.6933e+12  1.7158e+12
1.6768e+11  2.5152e+12  2.8991e+12  2.8924e+12
2.0236e+11  4.0222e+12  4.6720e+12  4.7746e+12
2.4421e+11  6.6304e+12  7.6570e+12  7.7627e+12
2.9471e+11  1.0528e+13  1.1935e+13  1.2064e+13
3.5565e+11  1.6058e+13  1.6110e+13  1.6798e+13
4.2919e+11  2.3309e+13  2.1336e+13  2.1601e+13
5.1795e+11  3.1468e+13  2.5930e+13  2.3341e+13
6.2506e+11  3.8787e+13  2.8177e+13  2.7661e+13
7.5431e+11  5.1032e+13  3.1755e+13  2.8455e+13
9.1030e+11  4.6578e+13  1.8724e+13  2.6536e+13
