# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  1.4295e+10  2.1454e+09  2.1336e+09
1.3257e+08  1.5330e+10  2.3141e+09  2.2749e+09
1.5999e+08  1.6425e+10  2.4778e+09  2.4389e+09
1.9307e+08  1.7571e+10  2.6212e+09  2.6384e+09
2.3300e+08  1.8788e+10  2.7632e+09  2.4281e+09
2.8118e+08  2.0066e+10  2.8863e+09  2.6583e+09
3.3932e+08  2.1398e+10  2.9748e+09  2.9378e+09
4.0949e+08  2.2813e+10  3.0563e+09  3.2471e+09
4.9417e+08  2.4290e+10  3.1004e+09  3.0520e+09
5.9636e+08  2.5872e+10  3.1470e+09  3.4059e+09
7.1969e+08  2.7508e+10  3.7663e+09  3.8345e+09
8.6851e+08  2.9256e+10  3.7873e+09  3.6229e+09
1.0481e+09  3.1132e+10  3.8142e+09  4.0711e+09
1.2649e+09  3.3136e+10  4.6013e+09  4.5546e+09
1.5264e+09  3.5256e+10  4.6457e+09  4.2840e+09
1.8421e+09  3.7559e+10  4.7313e+09  4.7817e+09
2.2230e+09  4.0033e+10  5.7535e+09  5.3080e+09
2.6827e+09  4.2750e+10  5.9985e+09  5.8138e+09
3.2375e+09  4.5726e+10  6.3341e+09  6.3004e+09
3.9069e+09  4.9032e+10  6.8284e+09  6.7197e+09
4.7149e+09  5.2752e+10  7.5595e+09  8.2310e+09
5.6899e+09  5.6923e+10  8.5571e+09  8.4820e+09
6.8665e+09  6.1740e+10  1.0032e+10  9.8704e+09
8.2864e+09  6.7317e+10  1.2110e+10  1.2691e+10
1.0000e+10  7.3815e+10  1.4981e+10  1.3913e+10
1.2068e+10  8.1692e+10  1.7339e+10  1.8400e+10
1.4563e+10  9.1364e+10  2.1200e+10  2.0875e+10
1.7575e+10  1.0341e+11  2.7275e+10  2.7489e+10
2.1210e+10  1.1847e+11  3.6447e+10  3.4478e+10
2.5595e+10  1.3759e+11  4.7069e+10  4.4804e+10
3.0888e+10  1.6285e+11  6.0672e+10  6.3073e+10
3.7276e+10  1.9657e+11  8.3069e+10  8.4403e+10
4.4984e+10  2.4201e+11  1.1916e+11  1.1489e+11
5.4287e+10  3.0322e+11  1.6182e+11  1.6634e+11
6.5513e+10  3.9041e+11  2.3509e+11  2.4135e+11
7.9060e+10  5.1615e+11  3.4796e+11  3.5324e+11
9.5410e+10  6.9565e+11  5.1641e+11  5.0874e+11
1.1514e+11  9.6593e+11  7.8944e+11  7.8969e+11
1.3895e+11  1.3868e+12  1.2198e+12  1.2389e+12
1.6768e+11  2.0176e+12  1.9273e+12  1.9287e+12
2.0236e+11  3.0187e+12  3.0572e+12  3.0596e+12
2.4421e+11  4.5823e+12  4.8649e+12  4.9476e+12
2.9471e+11  6.9591e+12  7.4119e+12  7.4903e+12
3.5565e+11  1.0677e+13  1.1516e+13  1.1839e+13
4.2919e+11  1.5311e+13  1.5689e+13  1.6393e+13
5.1795e+11  2.1094e+13  2.0602e+13  2.0198e+13
6.2506e+11  2.7096e+13  2.2018e+13  2.3527e+13
7.5431e+11  3.5750e+13  2.7962e+13  2.6072e+13
9.1030e+11  4.3448e+13  2.7369e+13  2.6214e+13
