# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  1.3757e+10  2.1706e+09  1.9473e+09
1.3257e+08  1.4701e+10  2.2792e+09  2.1212e+09
1.5999e+08  1.5743e+10  2.4316e+09  2.2808e+09
1.9307e+08  1.6862e+10  2.5980e+09  2.4495e+09
2.3300e+08  1.8051e+10  2.3479e+09  2.6396e+09
2.8118e+08  1.9298e+10  2.4671e+09  2.8652e+09
3.3932e+08  2.0612e+10  3.0436e+09  2.6518e+09
4.0949e+08  2.1994e+10  3.1549e+09  2.9222e+09
4.9417e+08  2.3449e+10  3.2467e+09  3.2326e+09
5.9636e+08  2.4979e+10  3.3115e+09  3.0153e+09
7.1969e+08  2.6581e+10  3.3398e+09  3.3927e+09
8.6851e+08  2.8288e+10  3.3610e+09  3.8039e+09
1.0481e+09  3.0095e+10  4.0539e+09  3.5688e+09
1.2649e+09  3.2005e+10  4.0691e+09  4.0372e+09
1.5264e+09  3.4047e+10  4.0824e+09  4.5411e+09
1.8421e+09  3.6236e+10  4.9340e+09  5.0782e+09
2.2230e+09  3.8574e+10  4.9996e+09  4.7705e+09
2.6827e+09  4.1144e+10  5.1453e+09  5.2759e+09
3.2375e+09  4.3905e+10  6.3198e+09  5.8116e+09
3.9069e+09  4.6960e+10  6.6742e+09  6.3013e+09
4.7149e+09  5.0287e+10  7.1160e+09  7.9367e+09
5.6899e+09  5.4011e+10  7.7706e+09  8.3969e+09
6.8665e+09  5.8211e+10  8.7126e+09  8.7119e+09
8.2864e+09  6.2977e+10  1.0032e+10  1.0269e+10
1.0000e+10  6.8429e+10  1.1855e+10  1.1780e+10
1.2068e+10  7.4708e+10  1.4340e+10  1.4903e+10
1.4563e+10  8.2025e+10  1.7743e+10  1.6253e+10
1.7575e+10  9.0554e+10  2.0206e+10  1.9410e+10
2.1210e+10  1.0068e+11  2.3863e+10  2.4820e+10
2.5595e+10  1.1281e+11  2.9184e+10  3.0560e+10
3.0888e+10  1.2801e+11  3.7502e+10  3.6185e+10
3.7276e+10  1.4526e+11  4.7547e+10  4.6107e+10
4.4984e+10  1.6607e+11  5.7474e+10  5.7245e+10
5.4287e+10  1.9491e+11  7.6217e+10  7.6372e+10
6.5513e+10  2.2695e+11  9.7155e+10  9.6192e+10
7.9060e+10  2.6308e+11  1.2121e+11  1.2110e+11
9.5410e+10  3.2722e+11  1.6941e+11  1.6211e+11
1.1514e+11  3.8933e+11  2.0647e+11  2.1487e+11
1.3895e+11  4.5297e+11  2.5249e+11  2.6068e+11
1.6768e+11  5.3660e+11  3.4553e+11  3.0191e+11
2.0236e+11  6.7939e+11  4.0505e+11  5.1292e+11
2.4421e+11  7.9433e+11  4.0604e+11  3.4385e+11
2.9471e+11  1.0864e+12  7.4447e+11  8.8056e+11
3.5565e+11  1.0000e+00  0.0000e+00  0.0000e+00
4.2919e+11  1.0000e+00  0.0000e+00  0.0000e+00
5.1795e+11  1.0000e+00  0.0000e+00  0.0000e+00
6.2506e+11  1.0000e+00  0.0000e+00  0.0000e+00
7.5431e+11  1.0000e+00  0.0000e+00  0.0000e+00
9.1030e+11  1.0000e+00  0.0000e+00  0.0000e+00
