# Mstar  Msub  Msub_lo  Msub_hi
1.0985e+08  1.4067e+10  2.2091e+09  2.0017e+09
1.3257e+08  1.5044e+10  2.3336e+09  2.1696e+09
1.5999e+08  1.6110e+10  2.4887e+09  2.3335e+09
1.9307e+08  1.7243e+10  2.6446e+09  2.5168e+09
2.3300e+08  1.8442e+10  2.3700e+09  2.7258e+09
2.8118e+08  1.9710e+10  2.9356e+09  2.5104e+09
3.3932e+08  2.1036e+10  3.0493e+09  2.7631e+09
4.0949e+08  2.2431e+10  3.1423e+09  3.0555e+09
4.9417e+08  2.3900e+10  3.2135e+09  3.3902e+09
5.9636e+08  2.5450e+10  3.2629e+09  3.1831e+09
7.1969e+08  2.7086e+10  3.2892e+09  3.5711e+09
8.6851e+08  2.8808e+10  3.9481e+09  4.0120e+09
1.0481e+09  3.0645e+10  3.9770e+09  3.7849e+09
1.2649e+09  3.2604e+10  3.9990e+09  4.2590e+09
1.5264e+09  3.4689e+10  4.8081e+09  4.7769e+09
1.8421e+09  3.6922e+10  4.8706e+09  4.4813e+09
2.2230e+09  3.9357e+10  4.9860e+09  4.9825e+09
2.6827e+09  4.1986e+10  6.1009e+09  5.5003e+09
3.2375e+09  4.4874e+10  6.4055e+09  5.9936e+09
3.9069e+09  4.8050e+10  6.8259e+09  6.4509e+09
4.7149e+09  5.1590e+10  7.4320e+09  8.0107e+09
5.6899e+09  5.5546e+10  8.2691e+09  8.3578e+09
6.8665e+09  6.0039e+10  9.4610e+09  9.8934e+09
8.2864e+09  6.5180e+10  1.1123e+10  1.1389e+10
1.0000e+10  7.1169e+10  1.3486e+10  1.2734e+10
1.2068e+10  7.8216e+10  1.6802e+10  1.5615e+10
1.4563e+10  8.6602e+10  1.9448e+10  1.8439e+10
1.7575e+10  9.6786e+10  2.3582e+10  2.3219e+10
2.1210e+10  1.0922e+11  2.9748e+10  2.8093e+10
2.5595e+10  1.2456e+11  3.8823e+10  3.5746e+10
3.0888e+10  1.4356e+11  4.8605e+10  4.7258e+10
3.7276e+10  1.6802e+11  6.3968e+10  6.3699e+10
4.4984e+10  1.9891e+11  8.1829e+10  8.3055e+10
5.4287e+10  2.3963e+11  1.1010e+11  1.1061e+11
6.5513e+10  2.9360e+11  1.4720e+11  1.5025e+11
7.9060e+10  3.6526e+11  2.0404e+11  1.9966e+11
9.5410e+10  4.6151e+11  2.8073e+11  2.8248e+11
1.1514e+11  5.9682e+11  4.0656e+11  4.0424e+11
1.3895e+11  8.0854e+11  6.1009e+11  6.0003e+11
1.6768e+11  1.1228e+12  9.0565e+11  9.0409e+11
2.0236e+11  1.5235e+12  1.3079e+12  1.2880e+12
2.4421e+11  2.1347e+12  1.9883e+12  2.0677e+12
2.9471e+11  3.0947e+12  3.0428e+12  2.9884e+12
3.5565e+11  4.7745e+12  4.6056e+12  4.5500e+12
4.2919e+11  6.9069e+12  6.5092e+12  6.0548e+12
5.1795e+11  8.7852e+12  7.9650e+12  9.0917e+12
6.2506e+11  1.3516e+13  1.1839e+13  9.2854e+12
7.5431e+11  1.0116e+13  3.0886e+12  3.0886e+12
9.1030e+11  1.0000e+00  0.0000e+00  0.0000e+00
