# Mstar  Minfall  Minfall_lo  Minfall_hi
1.1244e+09  1.2222e+11  7.1443e+07  7.1443e+07
1.4215e+09  1.3812e+11  8.7820e+07  8.7820e+07
1.7972e+09  1.5656e+11  1.0919e+08  1.0919e+08
2.2721e+09  1.7780e+11  1.2431e+08  1.2431e+08
2.8725e+09  2.0236e+11  1.5738e+08  1.5738e+08
3.6316e+09  2.3078e+11  2.0094e+08  2.0094e+08
4.5913e+09  2.6394e+11  2.3702e+08  2.3702e+08
5.8046e+09  3.0415e+11  2.8934e+08  2.8934e+08
7.3386e+09  3.5244e+11  3.6153e+08  3.6153e+08
9.2779e+09  4.1195e+11  4.6891e+08  4.6891e+08
1.1730e+10  4.8478e+11  6.2330e+08  6.2330e+08
1.4829e+10  5.8091e+11  8.7720e+08  8.7720e+08
1.8748e+10  7.1257e+11  1.1718e+09  1.1718e+09
2.3703e+10  8.8764e+11  1.7451e+09  1.7451e+09
2.9966e+10  1.1489e+12  2.7369e+09  2.7369e+09
3.7885e+10  1.5033e+12  4.1717e+09  4.1717e+09
4.7897e+10  2.0420e+12  7.1051e+09  7.1051e+09
6.0554e+10  2.8052e+12  1.2189e+10  1.2189e+10
7.6556e+10  3.8801e+12  2.1012e+10  2.1012e+10
9.6787e+10  5.6715e+12  4.1660e+10  4.1660e+10
1.2236e+11  8.0752e+12  8.1445e+10  8.1445e+10
1.5470e+11  1.1721e+13  1.6066e+11  1.6066e+11
1.9558e+11  1.7315e+13  3.5654e+11  3.5654e+11
2.4727e+11  2.3694e+13  6.2192e+11  6.2192e+11
3.1261e+11  2.9778e+13  1.2556e+12  1.2556e+12
3.9522e+11  4.0566e+13  2.5087e+12  2.5087e+12
4.9966e+11  4.4668e+13  6.2968e+12  6.2968e+12
6.3170e+11  3.4903e+13  6.4504e+12  6.4504e+12
7.9863e+11  7.4989e+13  1.0182e+13  1.0182e+13
1.0097e+12  1.0000e+00  nan  nan
1.2765e+12  1.0000e+00  nan  nan
1.6138e+12  1.0000e+00  nan  nan
2.0403e+12  1.0000e+00  nan  nan
2.5795e+12  1.0000e+00  nan  nan
3.2611e+12  1.0000e+00  nan  nan
4.1229e+12  1.0000e+00  nan  nan
5.2124e+12  1.0000e+00  nan  nan
6.5899e+12  1.0000e+00  nan  nan
8.3313e+12  1.0000e+00  nan  nan
1.0533e+13  1.0000e+00  nan  nan
1.3316e+13  1.0000e+00  nan  nan
1.6835e+13  1.0000e+00  nan  nan
2.1284e+13  1.0000e+00  nan  nan
2.6909e+13  1.0000e+00  nan  nan
3.4020e+13  1.0000e+00  nan  nan
4.3010e+13  1.0000e+00  nan  nan
5.4376e+13  1.0000e+00  nan  nan
6.8746e+13  1.0000e+00  nan  nan
8.6912e+13  1.0000e+00  nan  nan
