# Mstar  Minfall  Minfall_lo  Minfall_hi
1.1244e+09  1.1601e+11  3.1552e+10  3.1552e+10
1.4215e+09  1.3135e+11  3.3407e+10  3.3407e+10
1.7972e+09  1.4866e+11  3.9440e+10  3.9440e+10
2.2721e+09  1.6854e+11  4.6935e+10  4.6935e+10
2.8725e+09  1.9138e+11  5.0615e+10  5.0615e+10
3.6316e+09  2.1811e+11  6.2011e+10  6.2011e+10
4.5913e+09  2.4935e+11  6.9519e+10  6.9519e+10
5.8046e+09  2.8569e+11  8.7381e+10  8.7381e+10
7.3386e+09  3.2870e+11  1.0142e+11  1.0142e+11
9.2779e+09  3.8073e+11  1.2189e+11  1.2189e+11
1.1730e+10  4.4443e+11  1.5207e+11  1.5207e+11
1.4829e+10  5.2549e+11  2.0084e+11  2.0084e+11
1.8748e+10  6.2622e+11  2.5169e+11  2.5169e+11
2.3703e+10  7.5878e+11  3.6383e+11  3.6383e+11
2.9966e+10  9.4038e+11  4.9380e+11  4.9380e+11
3.7885e+10  1.1816e+12  7.4564e+11  7.4564e+11
4.7897e+10  1.5256e+12  1.0858e+12  1.0858e+12
6.0554e+10  1.9147e+12  1.5864e+12  1.5864e+12
7.6556e+10  2.5028e+12  2.2488e+12  2.2488e+12
9.6787e+10  3.1312e+12  3.1991e+12  3.1991e+12
1.2236e+11  4.3621e+12  4.7452e+12  4.7452e+12
1.5470e+11  5.5258e+12  6.0832e+12  6.0832e+12
1.9558e+11  6.4688e+12  1.0053e+13  1.0053e+13
2.4727e+11  1.3147e+13  1.1676e+13  1.1676e+13
3.1261e+11  1.4791e+13  1.5353e+13  1.5353e+13
3.9522e+11  3.0903e+13  0.0000e+00  0.0000e+00
4.9966e+11  1.0000e+00  0.0000e+00  0.0000e+00
6.3170e+11  1.0000e+00  0.0000e+00  0.0000e+00
7.9863e+11  1.0000e+00  0.0000e+00  0.0000e+00
1.0097e+12  1.0000e+00  0.0000e+00  0.0000e+00
1.2765e+12  1.0000e+00  0.0000e+00  0.0000e+00
1.6138e+12  1.0000e+00  0.0000e+00  0.0000e+00
2.0403e+12  1.0000e+00  0.0000e+00  0.0000e+00
2.5795e+12  1.0000e+00  0.0000e+00  0.0000e+00
3.2611e+12  1.0000e+00  0.0000e+00  0.0000e+00
4.1229e+12  1.0000e+00  0.0000e+00  0.0000e+00
5.2124e+12  1.0000e+00  0.0000e+00  0.0000e+00
6.5899e+12  1.0000e+00  0.0000e+00  0.0000e+00
8.3313e+12  1.0000e+00  0.0000e+00  0.0000e+00
1.0533e+13  1.0000e+00  0.0000e+00  0.0000e+00
1.3316e+13  1.0000e+00  0.0000e+00  0.0000e+00
1.6835e+13  1.0000e+00  0.0000e+00  0.0000e+00
2.1284e+13  1.0000e+00  0.0000e+00  0.0000e+00
2.6909e+13  1.0000e+00  0.0000e+00  0.0000e+00
3.4020e+13  1.0000e+00  0.0000e+00  0.0000e+00
4.3010e+13  1.0000e+00  0.0000e+00  0.0000e+00
5.4376e+13  1.0000e+00  0.0000e+00  0.0000e+00
6.8746e+13  1.0000e+00  0.0000e+00  0.0000e+00
8.6912e+13  1.0000e+00  0.0000e+00  0.0000e+00
