# SnapNum  a  lookback  z
0   0.05    13.64   20.00
1   0.06    13.55   15.13
2   0.09    13.34   9.99
3   0.10    13.27   8.99
4   0.11    13.18   8.07
5   0.12    13.06   7.05
6   0.14    12.88   5.97
7   0.15    12.77   5.49
8   0.17    12.65   5.04
9   0.18    12.47   4.49
10  0.20    12.26   3.98
11  0.22    12.02   3.53
12  0.25    11.68   3.02
13  0.29    11.17   2.48
14  0.31    10.87   2.24
15  0.33    10.54   2.01
16  0.37    10.05   1.74
17  0.40    9.49    1.49
18  0.44    8.86    1.26
19  0.50    7.96    1.00
20  0.54    7.35    0.87
21  0.58    6.69    0.74
22  0.62    5.98    0.62
23  0.67    5.22    0.50
24  0.73    4.12    0.37
25  0.79    3.24    0.27
26  0.85    2.32    0.18
27  0.91    1.35    0.10
28  1.00    0.00    0.00
